Catalyst,Mg,Zn,Cu,Ag,Ni,Al,La,Y,Hf,Zr,Cr,Ga,Nb,Mo,C4H6 yield (%)
1,0,0.1107,0.1599,0.0369,0.3075,0.0123,0.0246,0.0492,0.0123,0.1353,0.1353,0.0984,0.1353,0.0123,30
2,0.0099,0,0.1188,0.099,0.0396,0,0.1188,0.0693,0.1683,0.0099,0.198,0.1089,0.0198,0.0297,26
3,0,0.054,0.0702,0,0.0432,0.0054,0.0216,0.0378,0.0054,0.1782,0.0648,0.0108,0.0378,0.0108,32
4,0.1323,0.2205,0.0882,0.3822,0.1323,0.0294,0.0294,0.0441,0,0.1029,0.0441,0.0441,0.147,0.0735,34
5,0.042,0.1008,0.1008,0.0336,0.1008,0,0.0168,0.0084,0,0.1176,0.1092,0.0672,0.1428,0,28
6,0.1281,0.0732,0.6039,0.2379,0.1098,0.1098,0.2013,0,0,0.0366,0.1281,0.1281,0.0366,0.0366,12
7,0.0204,0.0153,0.0816,0.0153,0.0255,0.0051,0,0.051,0.0153,0.051,0.0714,0.0561,0.102,0,12
8,0.0369,0.0615,0.1476,0.3075,0.0615,0.0738,0.0123,0.2583,0.0123,0.0246,0.0492,0.0492,0,0.1353,13
9,0.1128,0.0987,0.0705,0.0141,0.282,0,0.0987,0.0987,0.0846,0.1974,0.0705,0.141,0.0846,0.0564,33
10,0,0,0.2844,0.4503,0.2133,0.0237,0.6636,0.1659,0.1896,0,0.1896,0.1185,0,0.0711,21
11,0,0.1215,0.018,0,0.0045,0.054,0.0405,0,0.027,0.0045,0.054,0.018,0.036,0.072,20
12,0.2016,0.0288,0.0384,0.1824,0.1152,0.0288,0.0864,0.1728,0.0288,0.0096,0,0,0.0672,0,25
13,0.0621,0.0828,0.3105,0.4347,0.0828,0.0207,0.0621,0.207,0.0414,0.3519,0,0.2691,0.1449,0,28
14,0,0,0.066,0,0.0528,0.132,0.1716,0,0.2376,0.0396,0.0528,0.198,0.1584,0.2112,15
15,0.0318,0.0954,0.0954,0.1431,0.0795,0.0477,0.0159,0.3498,0.0636,0.0795,0.0159,0.0318,0.2703,0.2703,21
16,0.432,0.024,0.024,0.048,0.096,0.024,0.192,0.144,0.6,0.072,0.264,0.288,0,0.192,23
17,0.0336,0.0252,0.3024,0.0924,0.0168,0.084,0,0.1176,0,0.0336,0.0588,0,0,0.0756,8
18,0.099,0.0792,0.1386,0.0396,0.1584,0.4752,0.0198,0.1188,0.1782,0.3564,0.0792,0.0792,0.0198,0.1386,28
19,0.0111,0.0777,0.111,0.0777,0.0888,0.0444,0.0777,0.0444,0.1665,0.0777,0.0333,0.1332,0.0555,0.0999,33
20,0.0141,0.0141,0.0141,0.0846,0.0564,0.1692,0.1692,0.1692,0.0705,0.1551,0.0564,0.1269,0.1692,0.1269,14
21,0.0615,0.1476,0.1476,0.0492,0.1476,0.0123,0.0246,0.0123,0.0123,0.1353,0.1353,0.0984,0.2091,0.0369,30
22,0.1035,0.0828,0,0.0414,0.0828,0.4968,0.0207,0.207,0.0414,0.3519,0.0828,0.2691,0.1449,0.1449,15
23,0.0528,0.0396,0.2904,0.1452,0.0264,0.132,0,0.1848,0.2376,0.0396,0.0528,0,0,0.1188,20
24,0.0099,0.0099,0.198,0.0396,0.0396,0,0.1188,0.099,0.0891,0.0099,0.198,0.0198,0.0198,0.1386,12
25,0,0.0924,0.066,0.0132,0.0528,0.132,0.1716,0.0924,0.0792,0.1848,0.066,0.198,0.0792,0.0924,27
26,0.0318,0.0954,0.0954,0.4134,0.0795,0.0477,0.0159,0.0795,0.0636,0.0795,0.0159,0.0318,0.2703,0.2703,23
27,0,0,0.1008,0.0336,0.42,0.0084,0.0168,0.0588,0.0672,0,0.0672,0.042,0,0.0252,10
28,0,0.1107,0.246,0.0492,0,0.0123,0.123,0.123,0.0123,0.2214,0,0.0246,0.1353,0.1722,36
29,0,0.054,0.108,0,0.0432,0,0.054,0.054,0.0054,0.1296,0.0648,0.0108,0.0054,0.0108,29
30,0,0.054,0.0702,0,0.0432,0.0054,0.0216,0.0378,0.0054,0.1782,0.0648,0.0108,0.0378,0.0108,32
31,0.0432,0.054,0.0702,0.0054,0,0.0054,0.0162,0.0378,0.0054,0.1782,0.0648,0.0108,0.0378,0.0108,34
32,0.1323,0.0735,0.0882,0.3822,0.1323,0.0294,0.0294,0,0.0882,0.2058,0.0441,0.0441,0.147,0.0735,28
33,0.021,0.0945,0.1365,0.0315,0.2625,0.0105,0,0.042,0.0105,0.1155,0.1155,0.084,0.1155,0.0105,27
34,0,0.0102,0.1326,0.0306,0.255,0.0918,0.0204,0.0408,0.0102,0.1122,0.1122,0.0816,0.1122,0.0102,10
35,0.1272,0.0159,0.0954,0.1908,0,0.0477,0.0795,0.0477,0.2544,0.2862,0.2385,0,0.2067,0,26
36,0.0561,0.0612,0.0051,0.051,0.0714,0.0612,0.0153,0.0153,0,0.0102,0.0663,0,0.0714,0.0255,13
37,0,0.054,0.0702,0,0.0432,0.0054,0.0216,0.0378,0.0054,0.1782,0.0648,0.0108,0.0378,0.0108,32
38,0.1323,0.2205,0.0882,0.3822,0.1323,0.0294,0.0294,0.0441,0,0.1029,0.0441,0.0441,0.147,0.0735,31
39,0.0486,0.054,0.0702,0.1188,0.0432,0,0,0.0378,0,0.0378,0.0648,0,0.0378,0.027,18
40,0,0.054,0.0702,0,0.0432,0.0054,0.0216,0.0378,0.0054,0.1782,0.0648,0.0108,0.0378,0.0108,30
41,0.0105,0.0735,0.1365,0.0315,0.084,0.042,0.0735,0.042,0.252,0.0735,0.0315,0.126,0.0525,0.0105,39
42,0.084,0.0945,0.0525,0.0105,0.21,0.0105,0.0735,0.0735,0.063,0.1155,0.0525,0.105,0.063,0.042,34
43,0.1323,0.2205,0.0882,0.3822,0.1323,0.0147,0.0294,0.0441,0,0.1029,0.1029,0.0441,0.1029,0.0735,38
44,0.1323,0.2205,0.0735,0,0,0.0294,0.1911,0.1029,0,0.2058,0.0441,0.2205,0.147,0.1029,45
45,0,0.054,0.0702,0,0.0432,0.0054,0.0216,0.0378,0.0054,0.1782,0.0648,0.0108,0.0378,0.0108,38
46,0.1323,0.0735,0.147,0.3822,0.1323,0.0294,0.0294,0,0.0882,0.2058,0.0441,0.0588,0.0735,0.0735,32
47,0,0.054,0.0702,0.0162,0.0432,0.0054,0.0216,0.054,0.0054,0.1782,0.0648,0.0108,0.0054,0.0108,34
48,0,0.0861,0.0615,0.0123,0.246,0.0123,0.0246,0.0861,0.0738,0.1722,0.2337,0.0984,0.0738,0.0492,39
49,0,0.1107,0.246,0.0492,0.0123,0.0123,0.123,0.123,0,0.2214,0,0.0246,0.1353,0.1722,43
50,0.0123,0.1107,0.246,0.0492,0,0,0.123,0.123,0.0123,0.2214,0,0.0246,0.1353,0.1722,37
51,0.0357,0.0408,0.0408,0.0612,0.0408,0.0204,0.0612,0.0306,0.0102,0.0612,0.0459,0.0051,0.0561,0.0051,13
52,0.0384,0.1344,0.2112,0.1344,0.1536,0.288,0.2112,0.096,0.1536,0.2688,0,0.1344,0.0384,0.0768,27
53,0.1323,0.2205,0.0735,0,0.1764,0.0294,0.1911,0.1029,0,0.2058,0.0441,0.0441,0.147,0.1029,37
54,0.1323,0.2205,0.0882,0.3822,0.1323,0.0147,0.0294,0.0441,0,0.1029,0.1029,0.0441,0.1029,0.0735,36
55,0,0.1107,0.246,0.0492,0.0123,0.0615,0.123,0.123,0,0.1722,0,0.0246,0.1353,0.1722,29
56,0.0162,0.054,0.0702,0.0162,0.0432,0.0054,0.0216,0.0378,0.0054,0.1782,0.0648,0.0108,0.0054,0.0108,33
57,0.1323,0.2205,0.0735,0,0,0.0294,0.1911,0.1029,0,0.2058,0.0441,0.0294,0.147,0.294,36
58,0.0105,0.0735,0.0735,0.042,0.084,0.042,0.0735,0.105,0.252,0.0735,0.0315,0.126,0.0525,0.0105,39
59,0.1323,0.2205,0.0735,0,0,0.0294,0.1911,0.1029,0,0.2058,0.0441,0.2205,0.147,0.1029,36
60,0.1323,0,0.1911,0.3822,0.1176,0.0294,0.0294,0.1029,0.0294,0.2058,0.0441,0.0294,0.1029,0.0735,15
