,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,bulk_modulus,c6_gb,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_negativity,electron_affinity,en_allen,en_ghosh,en_pauling,first_ion_en,fusion_enthalpy,gs_bandgap,gs_energy,gs_est_bcc_latcnt,gs_est_fcc_latcnt,gs_mag_moment,gs_volume_per,hhi_p,hhi_r,heat_capacity_mass,heat_capacity_molar,icsd_volume,evaporation_heat,heat_of_formation,lattice_constant,mendeleev_number,melting_point,molar_volume,num_unfilled,num_valance,num_d_unfilled,num_d_valence,num_f_unfilled,num_f_valence,num_p_unfilled,num_p_valence,num_s_unfilled,num_s_valence,period,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_mm3,vdw_radius_uff,sound_velocity,Polarizability
Li,0.0,0.27741935483870966,0.0641025641025641,0.12461538461538461,0.0,0.10510507718058398,0.02484143763213531,0.18893866831453732,0.21621621621621623,0.23846153846153847,0.2857142857142857,0.3751737919228982,0.28125,0.0,0.36979817587151326,0.10857142857142854,0.5511567603462485,0.1692093577656225,0.07064273650657724,0.11801242236024842,0.22718987499213159,0.016319942611190817,0.0,0.9129212794891433,0.1941862250470136,0.1941862251184299,0.0,0.0806797991193511,0.2159090909090909,0.43023255813953487,1.0,0.40885024530043235,0.1590962579430454,0.1772852848467146,0.10690768237572629,0.17883755588673625,0.04878048780487805,0.07461816244376036,0.12361930700559842,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.19723383066054856,0.15263157894736842,0.15,0.27049180327868855,0.0,0.4253817107207355,0.37103423552607995
Be,0.0125,0.0,0.05128205128205128,0.0,0.010256280922033411,0.5002789659661522,0.339323467230444,0.0041711725629538085,0.0,0.0,0.0,0.0,0.03125,0.05962969685968415,0.033983035073257645,0.44571428571428573,0.0,0.580627600978439,0.3078807773733914,0.4844720496894411,0.823444871931968,0.10410688665710185,0.0,0.7577216607887609,0.0,0.0,0.0,0.0,0.7954545454545454,0.4069767441860465,0.4921965317919075,0.0,0.0,0.3732276948166539,0.3195610071013557,0.0,0.8414634146341463,0.36982003315178785,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5052005943536405,0.44155396915516426,0.0,0.0625,0.00819672131147541,0.14230396902226528,1.0,0.03531098763219215
Na,0.1,0.5032258064516129,0.1282051282051282,0.2876923076923077,0.0794384156832,0.11216291612423282,0.012420718816067652,0.21365672794685617,0.47297297297297297,0.4076923076923077,0.5882352941176471,0.36754609311892117,0.5,0.019831185333091302,0.3663413726168,0.08,0.5383508829381083,0.14283505166294377,0.0,0.08695652173913045,0.18886874060052014,0.009146341463414637,0.0,0.9631118021227325,0.3781228287067435,0.3781228284234044,0.0,0.19794515253765932,0.011363636363636364,0.0,0.3196531791907514,0.5725457813183077,0.37244057425276533,0.11631190137159689,0.040025823111684955,0.2891207153502236,0.036585365853658534,0.020530428605256914,0.28642759872900586,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.3263001485884101,0.32521104606249013,0.3894736842105263,0.3875,0.39344262295081966,0.25750242013552765,0.19553439500902972,0.3670908765011651
Mg,0.1125,0.3096774193548387,0.32051282051282054,0.13846153846153847,0.0859481569032728,0.1506416217221499,0.11469344608879493,0.06828363973428087,0.30405405405405406,0.2846153846153846,0.35294117647058826,0.6157272766259013,0.3125,0.05463786531130877,0.12221129045124578,0.29714285714285715,0.8242065908663749,0.40511287346180375,0.16906919764980138,0.3229813664596274,0.5691570406133373,0.11459827833572453,0.0,0.939892933127462,0.2943325808801595,0.29433258082527025,0.0,0.13904982618771727,0.48863636363636365,0.0,0.26040462427745664,0.4092874143877204,0.1808660861379148,0.15756934048949092,0.09115558424790186,0.13710879284649777,0.7926829268292683,0.18363722472176178,0.13844757149341808,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.2677563150074294,0.37174821529955976,0.10526315789473684,0.39375,0.1721311475409836,0.2758954501452083,0.3106222295189624,0.12493278365298441
Al,0.125,0.2,0.3076923076923077,0.07692307692307693,0.09919569798911504,0.4067323786498047,0.1966173361522199,0.05144446160976363,0.16891891891891891,0.18461538461538463,0.19327731092436976,0.38116450457793893,0.15625,0.09824378290070794,0.056026803520621164,0.4685714285714286,0.5173320265547918,0.6032341490664492,0.3381621827350793,0.5093167701863355,0.3172958013950099,0.15459110473457677,0.0,0.7585132859435412,0.19216736037430504,0.19216736008665694,0.0,0.07962920046349942,0.06818181818181818,0.05813953488372093,0.2239884393063584,0.3767911788993054,0.10002353494939985,0.34292355811943975,0.3284699806326662,0.2622950819672131,0.8780487804878049,0.1870412029363012,0.07792404297170526,0.22727272727272727,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.25,0.23060921248142646,0.546262599938571,0.1631578947368421,0.23125,0.11475409836065574,0.9912875121006776,0.3515022163848301,0.05682021867718229
Si,0.1375,0.12903225806451613,0.21794871794871795,0.10923076923076923,0.10465728636450927,0.38590291984377906,0.2600422832980973,0.01869303259694114,0.10135135135135136,0.1076923076923077,0.14285714285714285,0.24922294530096006,0.0625,0.08150299509892903,0.03291940330257666,0.6342857142857142,0.6920431619035184,0.7906801102962011,0.507201646090535,0.6894409937888198,0.6458234266702162,0.8629842180774749,0.4756923076923077,0.6202448622360875,0.2578601219907935,0.25786012168954864,0.0,0.11633835457705678,0.42045454545454547,0.05813953488372093,0.17052023121387286,0.17229319473454122,0.1401506236761591,0.46328818138668815,0.48224661071659136,0.4679582712369597,0.9390243902439024,0.4088917830925882,0.10909366016038735,0.18181818181818182,0.10714285714285714,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,0.0,1.0,0.25,0.17206537890044576,0.34847963068102494,0.3,0.19375,0.05737704918032787,0.8925459825750243,0.11344606796913478,0.03405628248790107
P,0.15,0.1032258064516129,0.10256410256410256,0.18461538461538463,0.11895522875622895,0.0,0.02484143763213531,0.0,0.07432432432432433,0.06923076923076923,0.10084033613445378,0.13194155927697887,0.0,0.058359048829188596,0.0,0.7999999999999999,0.5746340500776587,1.0,0.6762589500225982,0.8695652173913043,1.0,0.2950143472022955,1.0,0.6222543882728847,0.289724958610219,0.2897249586486958,0.0,0.13608563707995366,0.11363636363636363,0.5348837209302325,0.1869942196531792,0.35852722591926955,0.12803012473523182,0.05777258510107464,0.3098773402194964,0.7272727272727273,1.0,0.004647170258110345,0.18414283552731123,0.13636363636363635,0.14285714285714285,0.0,0.0,0.0,0.0,0.6,1.0,0.0,1.0,0.25,0.18811292719167907,0.0,0.14210526315789473,0.0125,0.0,0.8209099709583737,0.26537045394700526,0.0
K,0.2,0.7935483870967742,0.24358974358974358,0.62,0.15916767141621183,0.09187279151943463,0.003964059196617337,0.5751583500695195,0.722972972972973,0.7230769230769231,0.865546218487395,0.7657748877443227,0.75,0.014612452350698853,0.7064376312920467,0.017142857142857095,0.5298670781825707,0.05910709578142425,0.029589190989319426,0.018633540372670756,0.06776473068665215,0.004393830703012914,0.0,0.9765066053140923,0.7598506416356118,0.7598506415692251,0.0,0.6045577443337196,0.07954545454545454,0.7790697674418605,0.18352601156069365,0.6390926312721621,0.7945398917392327,0.0,0.016139444803098774,0.4381520119225038,0.024390243902439025,0.010419133317546764,0.6217279467392948,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.18692421991084696,0.2321367075883508,0.6421052631578947,0.53125,0.7131147540983607,0.6587608906098742,0.0970284025611558,0.7067574834199677
Ca,0.2125,0.5483870967741935,0.7051282051282052,0.38307692307692304,0.16401670161017304,0.2239166821647759,0.040697674418604654,0.3156187239301715,0.5405405405405406,0.5307692307692308,0.4789915966386555,0.7036883161438873,0.5,0.0461063713922672,0.38309357300502567,0.11999999999999998,0.44277184475715825,0.24466917800384197,0.13200777849140083,0.13043478260869565,0.3366187430653358,0.11567431850789094,0.0,0.9064633007509243,0.4732671601318087,0.4732671601517361,0.0,0.2769872537659328,0.32954545454545453,0.11627906976744186,0.1517341040462428,0.46077621800165147,0.4245704871734525,0.18410067301958205,0.13079406068431249,0.4903129657228018,0.0975609756097561,0.23987686478806533,0.3230443334846422,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.1572065378900446,0.4648225537736991,0.4105263157894737,0.4625,0.48360655737704916,0.45885769603097765,0.24560827450336561,0.3830435561928661
Sc,0.225,0.3225806451612903,0.6153846153846154,0.15384615384615385,0.18815993236996167,0.47442811976938815,0.1464059196617336,0.21365672794685617,0.5,0.35384615384615387,0.2184873949579832,0.4251450243369319,0.375,0.11145398438918135,0.3120429707235355,0.32571428571428573,0.4726211190660228,0.3418982667712567,0.15562513380432455,0.3540372670807454,0.4046218707268627,0.2153873744619799,0.0,0.5493943184707625,0.2848473609345761,0.28484736100961316,3.008533622708469e-06,0.13297798377752026,0.5113636363636364,0.46511627906976744,0.12890173410404623,0.4409093117015592,0.19828194869381033,0.4020713911911108,0.3890251775338929,0.15201192250372578,0.13414634146341464,0.4476675349277765,0.15357845362384626,0.4090909090909091,0.07142857142857142,1.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.1283803863298663,0.036680596792658296,0.3263157894736842,0.4375,0.319672131147541,0.40851887705711526,0.34747277551796524,0.2539881699229253
